page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
4,25,"Сосиски ПАПА МОЖЕТ Сочные, 100г",46.39,21.99,−53%,с 15 февраля - до 28 февраля
43,26,"Колбаса ЛИТОВСКАЯ, сырокопченая, нарезка (Иней), 100г",189.99,89.99,−53%,с 15 февраля - до 28 февраля
50,34,"Колбаса ГОВЯЖЬЯ ОСОБАЯ, Халяль, мини, 1 штука (Царицыно), 500г",211.49,99.99,−53%,с 15 февраля - до 28 февраля
50,35,"Колбаса ГОВЯЖЬЯ ОСОБАЯ, Халяль, мини, 1 штука (Царицыно), 500г",211.49,99.99,−53%,с 15 февраля - до 28 февраля
50,41,"Колбаса ГОВЯЖЬЯ ОСОБАЯ, Халяль, мини, 1 штука (Царицыно), 500г",210.79,99.99,−53%,с 15 февраля - до 28 февраля
53,1,"Ассорти колбасное ВЕЛКОМ Брауншвейгская+Велком+Миланская сырокопченая, нарезка, 90г",234.090,109.99,−53%,с 15 февраля - до 28 февраля
66,17,"Салями ВЕНСКАЯ полукопченая срез (Дымов), 330г",300.89,139.99,−53%,с 15 февраля - до 28 февраля
71,25,"Сервелат ЗЕРНИСТЫЙ, варено-копченый (Останкино), 420г",340.49,159.99,−53%,с  9 февраля - до  8 марта
97,0,"Пельмени ЦЕЗАРЬ, с телятиной, 750г",534.95,249.99,−53%,с 15 февраля - до 28 февраля
97,4,"Пельмени ЦЕЗАРЬ, с телятиной, 750г",532.55,249.99,−53%,с 15 февраля - до 28 февраля
4,24,"Сосиски ПАПА МОЖЕТ Сочные, 100г",45.99,21.99,−52%,с 15 февраля - до 28 февраля
11,46,"Салями ФИНСКАЯ, полукопченая (Дымов), 100г",82.99,39.99,−52%,с 15 февраля - до 28 февраля
20,39,"Аромасаше BREESAL, Атласный восток/Пробуждение",123.99,59.99,−52%,с  8 февраля - до  8 марта
21,31,"Приправа ароматная КНОРР, 200г",123.69,59.99,−52%,с 15 февраля - до 28 февраля
25,45,"Мыло туалетное ДЛЯ ДАМЪ И ГОСПОДЪ, Парфюм и Глицерин, 190г",145.98,69.99,−52%,с  8 февраля - до  8 марта
25,46,"Мыло туалетное ДЛЯ ДАМЪ И ГОСПОДЪ, Парфюм и Бальзам, 190г",145.99,69.99,−52%,с  8 февраля - до  8 марта
50,21,"Колбаса ГОВЯЖЬЯ ОСОБАЯ, Халяль, мини, 1 штука (Царицыно), 500г",209.99,99.99,−52%,с 15 февраля - до 28 февраля
68,37,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",311.79,149.99,−52%,с 15 февраля - до 28 февраля
69,16,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",311.79,149.99,−52%,с 15 февраля - до 28 февраля
69,17,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",310.090,149.99,−52%,с 15 февраля - до 28 февраля
69,21,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",311.49,149.99,−52%,с 15 февраля - до 28 февраля
69,22,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",313.79,149.99,−52%,с 15 февраля - до 28 февраля
69,23,"Салями ВЕНСКАЯ, (МПК Останкино), 420г",312.59,149.99,−52%,с 15 февраля - до 28 февраля
71,24,"Сервелат ЗЕРНИСТЫЙ, варено-копченый (Останкино), 420г",330.49,159.99,−52%,с  9 февраля - до  8 марта
72,17,"Ветчина ВЯЗАНКА, Столичная мини (Стародворские колбасы), 500г",329.99,159.99,−52%,с 15 февраля - до 28 февраля
76,6,"Спрей чистящий СИФ Легкость чистоты для стекол, 500мл",372.99,179.99,−52%,с  8 февраля - до  8 марта
94,36,"Освежитель воздуха GLADE®, автоматический, Океанский оазис, сменный баллон, 269мл",520.99,249.99,−52%,с  8 февраля - до  8 марта
