page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
27,3,"Горошек зеленый ШЕСТЬ СОТОК, 400г",115.99,69.99,−40%,с 15 февраля - до 28 февраля
27,4,"Кукуруза сладкая ШЕСТЬ СОТОК, 340г",115.99,69.99,−40%,с 15 февраля - до 28 февраля
30,41,"Грудинка ДОМАШНЯЯ, копчено-вареная, мини (Ремит) , 100г",124.99,74.99,−40%,с  9 февраля - до  8 марта
30,46,"Чай чёрный КЁРТИС, Блю Берриз Блюз Blue Berries Blues, 20пакетиков",125.69,74.99,−40%,с  9 февраля - до  8 марта
31,28,"Чай АЗЕРЧАЙ, Черный с ароматом бергамота, 100г",126.010,74.99,−40%,с 15 февраля - до 28 февраля
37,37,"Лосось MARE рубленый подкопченный, 150г",142.79,84.99,−40%,с 15 февраля - до 28 февраля
42,20,"Чай RICHARD Роял Кения чёрный, 25пакетиков, 50г",148.92,89.99,−40%,с 15 февраля - до 28 февраля
42,26,"Чай RICHARD Роял Кения чёрный, 25пакетиков, 50г",148.92,89.99,−40%,с 15 февраля - до 28 февраля
42,29,"Чай RICHARD Роял Кения чёрный, 25пакетиков, 50г",148.92,89.99,−40%,с 15 февраля - до 28 февраля
46,0,"Моющее средство MR.PROPER®, Лимон/роза, 500мл",165.99,99.99,−40%,с  8 февраля - до  8 марта
55,46,"Гель для рук МАГНИТ Здоровье с антисептическим эффектом, 250мл",199.99,119.99,−40%,с  8 февраля - до  8 марта
62,30,"Продукт рассольный PREMIER OF TASTE® 55%, 500г",225.00,134.99,−40%,с  9 февраля - до  8 марта
62,31,"Продукт рассольный PREMIER OF TASTE® 55%, 500г",225.00,134.99,−40%,с  9 февраля - до  8 марта
63,34,HUGGIES Elite Soft Влажн салфетки детские 56шт (Кимберли):10,229.99,138.99,−40%,с  8 февраля - до  8 марта
65,11,"Крем-мыло БАРХАТНЫЕ РУЧКИ, Интенсивное питание, 500мл",234.99,139.99,−40%,с  9 февраля - до  8 марта
65,12,"Жидкое мыло БАРХАТНЫЕ РУЧКИ, Интенсивное питание, 240мл",234.99,139.99,−40%,с  9 февраля - до  8 марта
65,13,"Крем-мыло БАРХАТНЫЕ РУЧКИ, Антибактериальный комплекс, 500мл",234.99,139.99,−40%,с  9 февраля - до  8 марта
65,14,"Жидкое мыло БАРХАТНЫЕ РУЧКИ, Интенсивное питание, 240мл",234.99,139.99,−40%,с  9 февраля - до  8 марта
65,15,"Крем-мыло БАРХАТНЫЕ РУЧКИ, Интенсивное питание, 500мл",234.99,139.99,−40%,с  9 февраля - до  8 марта
66,23,"Кондиционер для белья SYNERGETIC®, Райский сад, 1л",234.99,139.99,−40%,с 22 февраля - до 28 февраля
66,24,"Кондиционер для белья СИНЕРГЕТИК, детский, 1л",233.99,139.99,−40%,с 22 февраля - до 28 февраля
67,42,"Салфетки влажные PAMPERS® Аква Пьюр детские, 48шт.",249.99,149.99,−40%,с  8 февраля - до  8 марта
67,43,PAMPERS NewBaby Детские влажные салфетки 50шт:12,249.99,149.99,−40%,с  8 февраля - до  8 марта
68,36,"Свинина деликатесная ПАПА МОЖЕТ варено-копченая, 300г",248.29,149.99,−40%,с 15 февраля - до 28 февраля
68,38,"Свинина деликатесная ПАПА МОЖЕТ варено-копченая, 300г",249.99,149.99,−40%,с 15 февраля - до 28 февраля
69,15,"Свинина деликатесная ПАПА МОЖЕТ варено-копченая, 300г",249.99,149.99,−40%,с 15 февраля - до 28 февраля
69,18,"Свинина деликатесная ПАПА МОЖЕТ варено-копченая, 300г",251.89,149.99,−40%,с 15 февраля - до 28 февраля
69,20,"Свинина деликатесная ПАПА МОЖЕТ варено-копченая, 300г",250.89,149.99,−40%,с 15 февраля - до 28 февраля
73,17,"PALMIA Сред д/мыт пос Aromatic/ Espres/Fioren/ Tropic0,5л:10",284.99,169.99,−40%,с  8 февраля - до  8 марта
75,6,"Окорок МЯСНИЦКИЙ РЯД копчено-вареный охлажденный, 300г",283.79,169.99,−40%,с 15 февраля - до 28 февраля
75,7,"Колбаса МЯСНИЦКИЙ РЯД Докторская от шефа вареная, 470г",284.29,169.99,−40%,с 15 февраля - до 28 февраля
75,39,"Средство для ванной SYNERGETIC®, 500мл",300.99,179.99,−40%,с  8 февраля - до  8 марта
84,37,"Чай АЗЕРЧАЙ, Черный с ароматом бергамота, 100пакетиков",334.00,199.99,−40%,с 15 февраля - до 28 февраля
84,40,"Чай АЗЕРЧАЙ, Черный с ароматом бергамота, 100пакетиков",334.00,199.99,−40%,с 15 февраля - до 28 февраля
87,17,"БЕДРО КУРИНОЕ гриль, охлажденное, 1кг",349.99,209.99,−40%,с 15 февраля - до 28 февраля
87,18,"БЕДРО КУРИНОЕ гриль, охлажденное, 1кг",349.99,209.99,−40%,с 15 февраля - до 28 февраля
89,14,"Кофе ЧЕРНАЯ КАРТА ГОЛД, растворимый, 95г",364.48,219.99,−40%,с 15 февраля - до 28 февраля
89,15,"Кофе ЧЕРНАЯ КАРТА ГОЛД, растворимый, 95г",364.48,219.99,−40%,с 15 февраля - до 28 февраля
89,19,"Кофе ЧЕРНАЯ КАРТА ГОЛД, растворимый, 95г",364.48,219.99,−40%,с 15 февраля - до 28 февраля
92,40,"Лосьон длялица MIXIT Aha Revolution 3% glycolic acid, 150мл",397.99,239.99,−40%,с  8 февраля - до  8 марта
93,27,"Халва РОТ ФРОНТ, в шоколаде, 400г",396.99,239.99,−40%,с  9 февраля - до  8 марта
93,28,"Халва РОТ ФРОНТ, в шоколаде, 400г",398.79,239.99,−40%,с  9 февраля - до  8 марта
98,18,"Освежитель воздуха AIRWICK®, Лайф сенс, Утро в лесу, сменный баллон, 250мл",433.090,259.99,−40%,с  9 февраля - до  8 марта
98,19,"Освежитель воздуха AIRWICK®, Нежность шелка и лилии/Райские цветы/Дикий гранат, сменный баллон, 250мл",435.69,259.99,−40%,с  9 февраля - до  8 марта
98,20,"Освежитель воздуха AIRWICK®, Нежность шелка и лилии/Райские цветы/Дикий гранат, сменный баллон, 250мл",433.69,259.99,−40%,с  9 февраля - до  8 марта
98,21,"Освежитель воздуха AIRWICK®, Лайф сенс, Утро в лесу, сменный баллон, 250мл",436.79,259.99,−40%,с  9 февраля - до  8 марта
100,25,"Тоник MIXIT Your Skin, для нормальной и жирной кожи, 150мл",446.99,269.99,−40%,с  8 февраля - до  8 марта
100,28,"Тоник MIXIT Your Skin, для нормальной и сухой кожи, 150мл",446.99,269.99,−40%,с  8 февраля - до  8 марта
101,17,"Кофе ФРЕСКО ДОППИО, растворимый, сублимированный, 100г",447.19,269.99,−40%,с 15 февраля - до 28 февраля
102,14,SYNERGETIC Ж/мыло Антибакт Мелисса и ромашка 1л(Синерг):8,464.94,279.99,−40%,с  8 февраля - до  8 марта
105,31,"Гель для бритья NIVEA®, Мен, Защита и уход, Увлажняющий, 200мл",479.99,289.99,−40%,с 15 февраля - до 28 февраля
105,32,"Гель для бритья NIVEA®, для чувствительной кожи, 200мл",479.99,289.99,−40%,с 15 февраля - до 28 февраля
107,43,"Сыр ПРЕЗИДЕНТ, Снэк а ля Франсэ, с плесенью, 60%, 170г",499.90,299.99,−40%,с  9 февраля - до  8 марта
107,44,"Сыр ПРЕЗИДЕНТ, Снэк а ля Франсэ, с плесенью, 60%, 170г",499.90,299.99,−40%,с  9 февраля - до  8 марта
108,12,"Кофе JARDIN Колумбия Меделлин сублимированный, 150г",501.19,299.99,−40%,с 15 февраля - до 28 февраля
108,15,"Кофе JARDIN Колумбия Меделлин сублимированный, 150г",501.19,299.99,−40%,с 15 февраля - до 28 февраля
108,21,"Кофе JARDIN Колумбия Меделлин сублимированный, 150г",501.19,299.99,−40%,с 15 февраля - до 28 февраля
109,15,"Паста ореховая MILKA с какао и фундуком, 350г",502.99,299.99,−40%,с 22 февраля - до 28 февраля
112,45,"Кофе JARDIN Коломбия Супремо молотый, 250г",549.080,329.99,−40%,с 15 февраля - до 28 февраля
114,35,"Гель для умывания MIXIT Aha Revolution 3% glycolic acid, 150мл",578.99,349.99,−40%,с  8 февраля - до  8 марта
115,34,"Кофе JARDIN Эфиопия Эйфория, молотый, 250г",585.040,349.99,−40%,с 15 февраля - до 28 февраля
119,30,"Кофе JARDIN Голд растворимый сублимированный, 190г",654.29,389.99,−40%,с 15 февраля - до 28 февраля
119,31,"Щетка для сухого массажа STELLARY Body Brush, 82г",649.00,389.99,−40%,с  8 февраля - до 28 февраля
119,33,"Гель для стирки SYNERGETIC® гипоаллергенный, для цветного белья, 1,5л",653.99,389.99,−40%,с 22 февраля - до 28 февраля
120,15,"Тоник МИКСИТ Протокосметик увлажняющий для возрастной кожи с гиалуроновой кислотой, 200мл",664.99,399.99,−40%,с  8 февраля - до  8 марта
122,7,"Кофе растворимый JARDIN Гватемала, 190г",670.89,399.99,−40%,с 15 февраля - до 28 февраля
122,8,"Кофе растворимый JARDIN Гватемала, 190г",670.89,399.99,−40%,с 15 февраля - до 28 февраля
122,9,"Кофе растворимый JARDIN Гватемала, 190г",670.89,399.99,−40%,с 15 февраля - до 28 февраля
126,49,"Крем для лица MIXIT Your Skin, увлажняющий для нормальной и жирной кожи, 50мл",772.99,459.99,−40%,с  8 февраля - до  8 марта
127,0,"Пенка МИКСИТ Протокосметик очищающая для возрасной кожи с гиалуровой кислотой, 150мл",770.99,459.99,−40%,с  8 февраля - до  8 марта
127,41,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.75,478.65,−40%,с  8 февраля - до  8 марта
127,42,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.75,478.65,−40%,с  8 февраля - до  8 марта
127,43,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.75,478.65,−40%,с  8 февраля - до  8 марта
127,44,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.84,478.70,−40%,с  8 февраля - до  8 марта
127,45,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.84,478.70,−40%,с  8 февраля - до  8 марта
127,46,"Туалетная вода VEGAN LOVE STUDIO Pink Shell, женская, 100 мл",797.84,478.70,−40%,с  8 февраля - до  8 марта
128,3,"Массажер для лица STELLARY Face Lift Roller, 32г",799.00,479.99,−40%,с  8 февраля - до 28 февраля
128,19,"Микропилинг МИКСИТ Протокосметик деликатный для возрастной кожи, 60мл",835.99,499.99,−40%,с  8 февраля - до  8 марта
128,29,"Чай RICHARD Royal Tea Collection, 120пакетиков",833.99,499.99,−40%,с  9 февраля - до  8 марта
128,35,"Вино КАСТИЛЬО САНТА БАРБАРА, Резерва, красное сухое (Испания), 0,75л",839.00,499.99,−40%,с  9 февраля - до  8 марта
128,36,"Вино АШТА ЛАША, Саперави-Оджалеши, красное сухое (Абхазия), 0,75л",839.00,499.99,−40%,с  9 февраля - до  8 марта
129,23,"Таблетки для посудомоечных машин ФИНИШ, Все в одном MAX, 25 шт.",893.99,539.99,−40%,с  8 февраля - до  8 марта
130,31,"Маска для лица МИКСИТ Протокосметик регенерирующая для возрастной кожи, 60мл",986.99,589.99,−40%,с  8 февраля - до  8 марта
130,49,"Средство для мытья посуды SYNERGETIC® алоэ, 3,5л",998.99,599.99,−40%,с  9 февраля - до  8 марта
134,7,"Вино игристое ЧИНЗАНО, Асти, белое сладкое, 0,75л",1489.99,899.00,−40%,с  9 февраля - до  8 марта
135,47,"Трусики-подгузники ХАГГИС, для мальчиков, 3 (7-11кг), 58шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
135,48,"Трусики-подгузники ХАГГИС, Литтл Уолкерс для мальчиков (13-17кг), 48 шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
135,49,"Трусики-подгузники ХАГГИС, Литтл Уолкерс для девочек (13-17кг), 48 шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
136,0,"Трусики-подгузники ХАГГИС, Литтл Уолкерс для мальчиков, 9-14 кг, 52 шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
136,1,"Трусики-подгузники ХАГГИС, Литтл Уолкерс для девочек, 9-14 кг, 52 шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
136,2,"Трусики-подгузники ХАГГИС, для девочек, 3 (7-11кг), 58шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
136,4,"Трусики-подгузники ХАГГИС, для девочек, 6 (16-22кг), 44шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
136,5,"Трусики-подгузники ХАГГИС, для мальчиков, 6 (16-22кг), 44шт.",1999.00,1199.00,−40%,с  8 февраля - до  8 марта
137,16,"Подгузники PAMPERS® Премиум Кеа, Ньюборн (2-5кг), 72шт.",2149.99,1299.99,−40%,с  9 февраля - до  8 марта
137,17,"Подгузники PAMPERS® Премиум Кеа, мини (3-6кг), 66шт.",2149.99,1299.99,−40%,с  9 февраля - до  8 марта
137,21,"Подгузники PAMPERS® Премиум Кеа, Ньюборн (2-5кг), 72шт.",2149.99,1299.99,−40%,с  9 февраля - до  8 марта
138,18,"Парфюмерная вода PEPE JEANS Celebrate женская, 50 мл",2358.84,1415.30,−40%,с  8 февраля - до  8 марта
138,19,"Парфюмерная вода PEPE JEANS Celebrate женская, 50 мл",2358.84,1415.30,−40%,с  8 февраля - до  8 марта
138,20,"Парфюмерная вода PEPE JEANS Celebrate женская, 50 мл",2358.84,1415.30,−40%,с  8 февраля - до  8 марта
8,37,"Колбаса СЛИВОЧНАЯ, вареная (Дмитрогорский продукт СЗ), 100г",62.25,37.70,−39%,с 15 февраля - до 28 февраля
10,29,"Перец черный КОТАНИ, Горошек, 20г",65.89,39.99,−39%,с 15 февраля - до 28 февраля
13,49,"Соль морская МАРЕМАН, Средняя, 1кг",74.99,45.99,−39%,с 15 февраля - до 28 февраля
14,1,"Соль морская МАРЕМАН, Средняя, 1кг",75.99,45.99,−39%,с 15 февраля - до 28 февраля
18,10,"Чай черный НЕСТИ, лесные ягоды, 500мл",89.99,54.99,−39%,с  9 февраля - до  8 марта
18,11,"Чай черный НЕСТИ, лесные ягоды, 500мл",89.99,54.99,−39%,с  9 февраля - до  8 марта
19,24,"Шоколад молочный ALPEN GOLD, с фундуком, 90г",92.11,55.99,−39%,с 15 февраля - до 28 февраля
20,45,"Чипсы мясные ДЫМОВ из индейки с черным перцем сыровяленые, 25г",97.99,59.99,−39%,с  9 февраля - до  8 марта
20,46,"Чипсы мясные ДЫМОВ из индейки с черным перцем сыровяленые, 25г",97.99,59.99,−39%,с  9 февраля - до  8 марта
24,15,"Шоколад ALPEN GOLD белый пористый, 80г",106.49,64.99,−39%,с 15 февраля - до 28 февраля
28,40,"Паста из морепродуктов АНТАРКТИК КРИЛЬ, Подкопченная, 150г",114.82,69.99,−39%,с 15 февраля - до 28 февраля
28,41,"Паста из морепродуктов АНТАРКТИК КРИЛЬ, Подкопченная, 150г",114.23,69.99,−39%,с 15 февраля - до 28 февраля
37,2,"Сервелат МУСКАТНЫЙ варенокопченый (Дымов), 100г",133.99,82.19,−39%,с 15 февраля - до 28 февраля
40,8,"Шоколад MILKA Bubbles молочный пористый, 76г",147.29,89.99,−39%,с  9 февраля - до  8 марта
43,40,"Колбаса БРАУНШВЕЙГСКАЯ, сырокопченая, ГОСТ (Дымов), 100г",149.99,92.19,−39%,с 15 февраля - до 28 февраля
47,6,"Соус HEINZ, Цезарь, 230г",164.13,99.99,−39%,с  9 февраля - до  8 марта
47,7,"Соус HEINZ, Цезарь, 230г",164.13,99.99,−39%,с  9 февраля - до  8 марта
50,4,"Салями ФЛАМЕНКО, сырокопченая, нарезка, мини (Черкизовский МПЗ), 100г",163.59,99.99,−39%,с 15 февраля - до 28 февраля
56,32,"Средство чистящее SYNERGETIC®, для мытья окон, зеркал и бытовой техники, 500мл",197.39,119.99,−39%,с  9 февраля - до  8 марта
67,39,"Зубная паста COLGATE® Naturals лимон, 75мл",245.99,149.99,−39%,с  8 февраля - до  8 марта
67,40,"Зубная паста COLGATE® Naturals Уголь, 75мл",245.99,149.99,−39%,с  8 февраля - до  8 марта
67,47,"Освежитель воздуха SYNERGETIC® пачули и нероли/миндаль и яблоневый цвет, 380мл",246.99,149.99,−39%,с  8 февраля - до  8 марта
69,31,"Паста зубная COLGATE®, Тотал 12, Здоровье десен, 75мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
69,32,"Паста зубная COLGATE®, Тотал 12, Чистая мята, 75мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
69,33,"Паста зубная COLGATE®, Тотал 12, Профессиональное отбеливание, 75мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
69,34,"Гель для полости рта COLGATE®, Тотал12, Профессиональная чистка, 75мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
69,35,"Зубная паста COLGATE®, Тотал 12 Профессиональная чистка, 75мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
69,36,"Зубная паста COLGATE® кальций-ремин, 100мл",245.99,149.99,−39%,с 22 февраля - до  8 марта
76,28,"Сосиски ВЯЗАНКА рубленые, 500г",293.99,179.99,−39%,с  9 февраля - до  8 марта
76,45,"Конфеты КОРКУНОВ, Ассорти, молочный шоколад, 110г",293.24,179.99,−39%,с  9 февраля - до  8 марта
76,47,"Конфеты КОРКУНОВ шоколадные Ореховая коллекция, 110г",293.90,179.99,−39%,с  9 февраля - до  8 марта
76,48,"Конфеты КОРКУНОВ, Ассорти, молочный шоколад, 110г",293.24,179.99,−39%,с  9 февраля - до  8 марта
77,0,"Конфеты КОРКУНОВ шоколадные Ореховая коллекция, 110г",293.90,179.99,−39%,с  9 февраля - до  8 марта
78,15,"ХЕК СЕРЕБРИСТЫЙ, полуфабрикат из замороженного сырья (СП ГМ), 1кг",294.99,179.99,−39%,с 15 февраля - до 28 февраля
78,16,"ХЕК СЕРЕБРИСТЫЙ, полуфабрикат из замороженного сырья (СП ГМ), 1кг",294.99,179.99,−39%,с 15 февраля - до 28 февраля
82,1,"Паста зубная РОКС Активный магний, 94г",324.99,197.99,−39%,с  9 февраля - до  8 марта
82,2,"Паста зубная РОКС, Про, Активный кальций, 94г",324.99,197.99,−39%,с  9 февраля - до  8 марта
82,19,"Блок туалетный BREF®, Лимонная свежесть, 102г",326.99,199.99,−39%,с  8 февраля - до  8 марта
83,0,"Средство чистящее SANFOR Турбо для канализационных труб, 750г",329.99,199.99,−39%,с  8 февраля - до  8 марта
85,4,"Колбаса КЛИНСКИЙ Докторская, 400г",330.16,199.99,−39%,с 15 февраля - до 28 февраля
85,5,"Колбаса КЛИНСКИЙ Докторская, 400г",330.16,199.99,−39%,с 15 февраля - до 28 февраля
85,10,"Колбаса КЛИНСКИЙ Докторская, 400г",330.16,199.99,−39%,с 15 февраля - до 28 февраля
85,13,"Колбаса КЛИНСКИЙ Докторская, 400г",330.16,199.99,−39%,с 15 февраля - до 28 февраля
85,15,"Колбаса КЛИНСКИЙ Докторская, 400г",330.16,199.99,−39%,с 15 февраля - до 28 февраля
89,16,"Кофе ЧЕРНАЯ КАРТА, Эксклюзив Бразилия, растворимый, 95г",360.77,219.99,−39%,с 15 февраля - до 28 февраля
92,38,"Тоник GARNIER® Скин нэчралс, Основной уход, для сухой и чувстельной кожи, 200мл",391.99,239.99,−39%,с  8 февраля - до  8 марта
96,9,"Гель для стирки SYNERGETIC®, Гипоаллергенный, 1л",410.39,249.99,−39%,с  9 февраля - до  8 марта
96,10,"Гель для стирки СИНЕРГЕТИК, детский, для всех типов ткани, 1л",410.39,249.99,−39%,с  9 февраля - до  8 марта
96,11,"Гель для стирки СИНЕРГЕТИК, детский, для всех типов ткани, 1л",412.69,249.99,−39%,с  9 февраля - до  8 марта
96,12,"Гель для стирки SYNERGETIC®, Гипоаллергенный, 1л",412.19,249.99,−39%,с  9 февраля - до  8 марта
97,47,БЛИЖНИЕ ГОРКИ Сардельки СвиныеГОСТ н/о мяс/пр580г п/уп(ДМПЗ),427.32,258.99,−39%,с 15 февраля - до 28 февраля
97,48,БЛИЖНИЕ ГОРКИ Сардельки СвиныеГОСТ н/о мяс/пр580г п/уп(ДМПЗ),427.32,258.99,−39%,с 15 февраля - до 28 февраля
99,5,"Средство моющее MR.PROPER® для полов и стен Лавандовое спокойствие, 1,5л",425.99,259.99,−39%,с 15 февраля - до 28 февраля
102,29,"Кофе JACOBS Голд, растворимый, 95г",455.71,279.99,−39%,с  9 февраля - до  8 марта
102,33,"Кофе JACOBS Голд, растворимый, 95г",455.71,279.99,−39%,с  9 февраля - до  8 марта
105,11,"Гель для устранения засоров ТИРЕТ ТУРБО, 500мл",475.89,289.99,−39%,с  9 февраля - до  8 марта
106,21,"Картриджи BIC для бритвы, Флекс 3 Гибрид, 4шт.",489.99,299.99,−39%,с  8 февраля - до  8 марта
107,12,"Гель для лица GARNIER® Витамин С, 50мл",492.99,299.99,−39%,с  8 февраля - до 28 февраля
107,21,"Стиральный порошок BIMAX® автомат ароматерапия, 1,8кг",493.99,299.99,−39%,с  8 февраля - до  8 марта
108,35,"Паста ореховая MILKA с какао и фундуком, 350г",489.59,299.99,−39%,с 15 февраля - до 28 февраля
112,46,"Форель ОКЕАН слабосоленая филе кусок, 170г",544.99,329.99,−39%,с 15 февраля - до 28 февраля
113,13,"Пельмени ЦЕЗАРЬ Царское застолье, 750г",550.69,336.99,−39%,с 15 февраля - до 28 февраля
114,36,"Очищающий гель MIXIT Your Skin, для нормальной и жирной кожи, 150мл",576.99,349.99,−39%,с  8 февраля - до  8 марта
118,2,"Кофе JACOBS Бариста эдишнс жареный в зернах, 230г",603.86,369.99,−39%,с 15 февраля - до 28 февраля
118,3,"Кофе JACOBS Бариста Идишн Крема, молотый, 230г",603.86,369.99,−39%,с 15 февраля - до 28 февраля
118,7,"Кофе JACOBS Бариста эдишнс жареный в зернах, 230г",603.86,369.99,−39%,с 15 февраля - до 28 февраля
118,8,"Кофе JACOBS Бариста Идишн Крема, молотый, 230г",603.86,369.99,−39%,с 15 февраля - до 28 февраля
126,1,"Вино игристое ЛЫХНЫ, белое, полусладкое (Абхазия), 0,75л",739.00,449.00,−39%,с  9 февраля - до  8 марта
126,2,"Вино игристое ЛЫХНЫ, красное, полусладкое (Абхазия), 0,75л",739.00,449.00,−39%,с  9 февраля - до  8 марта
126,3,"Вино игристое ЛЫХНЫ, красное, полусладкое (Абхазия), 0,75л",739.00,449.00,−39%,с  9 февраля - до  8 марта
126,4,"Вино игристое ЛЫХНЫ, белое, полусладкое (Абхазия), 0,75л",739.00,449.00,−39%,с  9 февраля - до  8 марта
128,20,"Крем для лица MIXIT Your Skin, увлажняющий для нормальной и сухой кожи, 50мл",822.99,499.99,−39%,с  8 февраля - до  8 марта
128,24,"Дневной крем длялица MIXIT Aha Revolution 3% glycolic acid, 50мл",824.99,499.99,−39%,с  8 февраля - до  8 марта
134,8,"Бальзам РИЖСКИЙ Черный Оригинал 45% (Латвия), 0,5л",1469.00,899.00,−39%,с  9 февраля - до  8 марта
134,9,"Бальзам РИЖСКИЙ Черный Оригинал 45% (Латвия), 0,5л",1469.00,899.00,−39%,с  9 февраля - до  8 марта
6,18,"Печенье ЮБИЛЕЙНОЕ, витаминизированное традиционное, 112г",48.090,29.99,−38%,с 15 февраля - до 28 февраля
6,19,"Печенье ЮБИЛЕЙНОЕ, Молочное, витаминное, 112г",48.090,29.99,−38%,с 15 февраля - до 28 февраля
6,20,"Печенье ЮБИЛЕЙНОЕ, Молочное, витаминное, 112г",48.59,29.99,−38%,с 15 февраля - до 28 февраля
6,21,"Печенье ЮБИЛЕЙНОЕ, витаминизированное традиционное, 112г",48.19,29.99,−38%,с 15 февраля - до 28 февраля
7,48,"Ветчина ВЛАДИМИРСКАЯ СТАНДАРТ (Владимирский Стандарт), 100г",55.99,34.99,−38%,с 15 февраля - до 28 февраля
9,26,"Пиво KRUSOVICE Svetle светлое фильтрованное, 0,33л",64.99,39.99,−38%,с  9 февраля - до  8 марта
15,45,"Мармелад жевательный БОН ПАРИ, Медведи, 75г",81.19,49.99,−38%,с 15 февраля - до 28 февраля
15,46,"Мармелад жевательный БОН-ПАРИ Веселые кошмарики, 75г",80.69,49.99,−38%,с 15 февраля - до 28 февраля
15,47,"Мармелад жевательный БОН ПАРИ, Кислые червячки, 75г",81.090,49.99,−38%,с 15 февраля - до 28 февраля
15,48,"Мармелад жевательный БОН ПАРИ, Машины, 75г",81.090,49.99,−38%,с 15 февраля - до 28 февраля
16,15,"Мармелад жевательный БОН-ПАРИ Веселые кошмарики, 75г",80.79,49.99,−38%,с 15 февраля - до 28 февраля
16,16,"Мармелад жевательный БОН ПАРИ, Кислые червячки, 75г",80.89,49.99,−38%,с 15 февраля - до 28 февраля
24,14,"Шоколад ALPEN GOLD белый пористый, 80г",105.49,64.99,−38%,с 15 февраля - до 28 февраля
26,20,"Напиток ЧАГА-ЧАЙ чайный с листом смородины и яблоком, 20пакетиков",112.17,69.99,−38%,с  9 февраля - до  8 марта
26,21,"Чайный напиток ЧАГА-ЧАЙ Дикая Сила иван-чай и шиповник, 20пакетиков",112.17,69.99,−38%,с  9 февраля - до  8 марта
26,22,"Паста рыбная КРЕМ-ФИШ горбуша-скумбрия, 150г",112.99,69.99,−38%,с  9 февраля - до  8 марта
26,23,"Паста рыбная КРЕМ-ФИШ горбуша-скумбрия, 150г",112.99,69.99,−38%,с  9 февраля - до  8 марта
34,10,"Напиток кофейный ЖОКЕЙ Мягкий растворимый 3в1, 10х12г",129.81,79.99,−38%,с 15 февраля - до 28 февраля
34,16,"Напиток кофейный ЖОКЕЙ Мягкий растворимый 3в1, 10х12г",129.81,79.99,−38%,с 15 февраля - до 28 февраля
35,49,"Паста из морепродуктов АНТАРКТИК КРИЛЬ, Подкопченная, 150г",128.090,79.99,−38%,с 15 февраля - до 28 февраля
36,37,"Колбаса САЛЬЧИЧОН, сырокопченая (Черкизово), 100г",129.99,79.99,−38%,с 15 февраля - до 28 февраля
36,38,"Колбаса САЛЬЧИЧОН, сырокопченая (Черкизово), 100г",128.79,79.99,−38%,с 15 февраля - до 28 февраля
36,39,"Колбаса САЛЬЧИЧОН, сырокопченая (Черкизово), 100г",129.99,79.99,−38%,с 15 февраля - до 28 февраля
40,3,"Шоколад MILKA Bubbles молочный пористый, 76г",145.99,89.99,−38%,с  9 февраля - до  8 марта
40,4,"Шоколад белый MILKA Bubbles пористый, фундук, 79г",145.99,89.99,−38%,с  9 февраля - до  8 марта
42,21,"Чай зеленый RICHARD Роял Грин, байховый, 25пакетиков",144.69,89.99,−38%,с 15 февраля - до 28 февраля
42,24,"Чай зеленый RICHARD Роял Грин, байховый, 25пакетиков",144.69,89.99,−38%,с 15 февраля - до 28 февраля
42,28,"Чай зеленый RICHARD Роял Грин, байховый, 25пакетиков",144.69,89.99,−38%,с 15 февраля - до 28 февраля
46,38,"Чай РУССКИЙ ИВАН-ЧАЙ крупнолистовой со смородиной, 50г",162.38,99.99,−38%,с  9 февраля - до  8 марта
46,40,"Чай РУССКИЙ ИВАН-ЧАЙ крупнолистовой с облепихой, 50г",162.42,99.99,−38%,с  9 февраля - до  8 марта
46,43,"Чай РУССКИЙ ИВАН-ЧАЙ крупнолистовой со смородиной, 50г",162.38,99.99,−38%,с  9 февраля - до  8 марта
46,49,"Чай РУССКИЙ ИВАН-ЧАЙ крупнолистовой с облепихой, 50г",162.42,99.99,−38%,с  9 февраля - до  8 марта
47,10,"Колбаса КНЯЖЕСКАЯ ТРАПЕЗА, сырокопченая, (Ремит), 100г",159.99,99.99,−38%,с  9 февраля - до  8 марта
47,24,"Чай черный AHMAD TEA Blackcurrant Burst, смородина, 25 пакетиков",159.99,99.99,−38%,с 15 февраля - до 28 февраля
